Genus,Hybrid_genus
Agrimonia,1
Arctium,1
Arum,1
Catapodium,1
Circaea,1
Crataegus,1
Daphne,1
Geum,1
Holcus,1
Koeleria,1
Leontodon,1
Limosella,1
Linaria,1
Nasturtium,1
Nuphar,1
Ophrys,1
Platanthera,1
Quercus,1
Scutellaria,1
Stuckenia,1
Tilia,1
Tripleurospermum,1
Typha,1
Verbascum,1
Ajuga,1
Alisma,1
Betula,1
Carduus,1
Drosera,1
Gentianella,1
Hypochaeris,1
Pilosella,1
Polygala,1
Polygonatum,1
Schedonorus,1
Schoenoplectus,1
Ulex,1
Elymus,1
Erica,1
Erodium,1
Glyceria,1
Jacobaea,1
Malva,1
Papaver,1
Puccinellia,1
Rorippa,1
Rubus,1
Sonchus,1
Sparganium,1
Spergularia,1
Ulmus,1
Calamagrostis,1
Centaurium,1
Cochlearia,1
Galeopsis,1
Limonium,1
Mentha,1
Primula,1
Prunus,1
Vaccinium,1
Agrostis,1
Alopecurus,1
Cardamine,1
Epipactis,1
Persicaria,1
Salicornia,1
Stachys,1
Atriplex,1
Dactylorhiza,1
Eleocharis,1
Sagina,1
Cirsium,1
Luzula,1
Potentilla,1
Cerastium,1
Fumaria,1
Myosotis,1
Hypericum,1
Epilobium,1
Euphorbia,1
Geranium,1
Rosa,1
Saxifraga,1
Poa,1
Galium,1
Rumex,1
Silene,1
Viola,1
Salix,1
Veronica,1
Euphrasia,1
Potamogeton,1
Ranunculus,1
Juncus,1
Sorbus,1
Carex,1
Aira,0
Anacamptis,0
Anemone,0
Anthemis,0
Anthriscus,0
Aphanes,0
Arabidopsis,0
Arenaria,0
Asparagus,0
Bidens,0
Bistorta,0
Blysmus,0
Briza,0
Calystegia,0
Ceratophyllum,0
Chenopodiastrum,0
Chrysosplenium,0
Clinopodium,0
Coincya,0
Cornus,0
Cuscuta,0
Cynoglossum,0
Cyperus,0
Dipsacus,0
Echium,0
Elatine,0
Erigeron,0
Ervilia,0
Ervum,0
Eryngium,0
Erysimum,0
Fallopia,0
Filipendula,0
Helianthemum,0
Helictotrichon,0
Helleborus,0
Herniaria,0
Inula,0
Iris,0
Kickxia,0
Logfia,0
Lolium,0
Melica,0
Mercurialis,0
Micranthes,0
Najas,0
Ornithopus,0
Oxytropis,0
Parapholis,0
Pedicularis,0
Peucedanum,0
Phyteuma,0
Pimpinella,0
Populus,0
Pulicaria,0
Pulmonaria,0
Pyrus,0
Reseda,0
Rhynchospora,0
Roemeria,0
Ruppia,0
Salvia,0
Sambucus,0
Sanguisorba,0
Schoenus,0
Scleranthus,0
Scrophularia,0
Sinapis,0
Sison,0
Solanum,0
Spartina,0
Spiranthes,0
Suaeda,0
Symphytum,0
Tanacetum,0
Tephroseris,0
Teucrium,0
Trichophorum,0
Triglochin,0
Urtica,0
Valeriana,0
Viburnum,0
Zostera,0
Achillea,0
Arabis,0
Astragalus,0
Brachypodium,0
Brassica,0
Bromopsis,0
Bupleurum,0
Centaurea,0
Chenopodium,0
Dianthus,0
Draba,0
Erophila,0
Filago,0
Gagea,0
Genista,0
Gentiana,0
Helosciadium,0
Hordeum,0
Isolepis,0
Lemna,0
Lythrum,0
Melampyrum,0
Myriophyllum,0
Neottia,0
Omalotheca,0
Ononis,0
Pinguicula,0
Pyrola,0
Ribes,0
Senecio,0
Thalictrum,0
Thlaspi,0
Thymus,0
Torilis,0
Bromus,0
Eriophorum,0
Linum,0
Oxybasis,0
Sabulina,0
Sedum,0
Vulpia,0
Artemisia,0
Lactuca,0
Lepidium,0
Lotus,0
Medicago,0
Phleum,0
Plantago,0
Utricularia,0
Valerianella,0
Callitriche,0
Campanula,0
Crepis,0
Festuca,0
Lamium,0
Polygonum,0
Allium,0
Lathyrus,0
Oenanthe,0
Vicia,0
Orobanche,0
Lysimachia,0
Stellaria,0
Alchemilla,0
Trifolium,0
